
# Surface 0 of 1 surfaces

# Curve title: "y**2 - x*(x-1)*(x-2)*(x-3)*(x-4)*(x-5)*(x-6)/5"

# Contour 0, label:    0.003
2.8507896e+00 -1.0220441e+00 3.0000000e-03 
2.8469242e+00 -1.0343536e+00 3.0000000e-03 
2.8378600e+00 -1.0621242e+00 3.0000000e-03 
2.8242749e+00 -1.1022044e+00 3.0000000e-03 
2.8183119e+00 -1.1191687e+00 3.0000000e-03 
2.8097917e+00 -1.1422846e+00 3.0000000e-03 
2.7944910e+00 -1.1823647e+00 3.0000000e-03 
2.7896996e+00 -1.1944975e+00 3.0000000e-03 
2.7780123e+00 -1.2224449e+00 3.0000000e-03 
2.7610873e+00 -1.2616117e+00 3.0000000e-03 
2.7606647e+00 -1.2625251e+00 3.0000000e-03 
2.7415208e+00 -1.3026052e+00 3.0000000e-03 
2.7324750e+00 -1.3209699e+00 3.0000000e-03 
2.7208722e+00 -1.3426854e+00 3.0000000e-03 
2.7038627e+00 -1.3735836e+00 3.0000000e-03 
2.6982940e+00 -1.3827655e+00 3.0000000e-03 
2.6752504e+00 -1.4196757e+00 3.0000000e-03 
2.6730278e+00 -1.4228457e+00 3.0000000e-03 
2.6466381e+00 -1.4594407e+00 3.0000000e-03 
2.6437454e+00 -1.4629259e+00 3.0000000e-03 
2.6180258e+00 -1.4930758e+00 3.0000000e-03 
2.6079455e+00 -1.5030060e+00 3.0000000e-03 
2.5894134e+00 -1.5207817e+00 3.0000000e-03 
2.5608011e+00 -1.5427554e+00 3.0000000e-03 
2.5602196e+00 -1.5430862e+00 3.0000000e-03 
2.5321888e+00 -1.5586203e+00 3.0000000e-03 
2.5035765e+00 -1.5687281e+00 3.0000000e-03 
2.4749642e+00 -1.5729223e+00 3.0000000e-03 
2.4463519e+00 -1.5710695e+00 3.0000000e-03 
2.4177396e+00 -1.5630688e+00 3.0000000e-03 
2.3891273e+00 -1.5488531e+00 3.0000000e-03 

2.2746781e+00 1.4236292e+00 3.0000000e-03 
2.3012650e+00 1.4629259e+00 3.0000000e-03 
2.3032904e+00 1.4658385e+00 3.0000000e-03 
2.3319027e+00 1.5005283e+00 3.0000000e-03 
2.3344211e+00 1.5030060e+00 3.0000000e-03 
2.3605150e+00 1.5280033e+00 3.0000000e-03 
2.3810638e+00 1.5430862e+00 3.0000000e-03 
2.3891273e+00 1.5488531e+00 3.0000000e-03 
2.4177396e+00 1.5630688e+00 3.0000000e-03 
2.4463519e+00 1.5710695e+00 3.0000000e-03 
2.4749642e+00 1.5729223e+00 3.0000000e-03 
2.5035765e+00 1.5687281e+00 3.0000000e-03 
2.5321888e+00 1.5586203e+00 3.0000000e-03 
2.5602196e+00 1.5430862e+00 3.0000000e-03 
2.5608011e+00 1.5427554e+00 3.0000000e-03 
2.5894134e+00 1.5207817e+00 3.0000000e-03 
2.6079455e+00 1.5030060e+00 3.0000000e-03 
2.6180258e+00 1.4930758e+00 3.0000000e-03 
2.6437454e+00 1.4629259e+00 3.0000000e-03 
2.6466381e+00 1.4594407e+00 3.0000000e-03 
2.6730278e+00 1.4228457e+00 3.0000000e-03 
2.6752504e+00 1.4196757e+00 3.0000000e-03 
2.6982940e+00 1.3827655e+00 3.0000000e-03 
2.7038627e+00 1.3735836e+00 3.0000000e-03 
