
# Surface 0 of 1 surfaces

# Curve title: "y**2 + x**2 - x - 1"

# Contour 0, label:    0.003
1.6177450e+00 -6.0120240e-02 3.0000000e-03 
1.6165951e+00 -7.6343099e-02 3.0000000e-03 
1.6148602e+00 -1.0020040e-01 3.0000000e-03 
1.6104881e+00 -1.4028056e-01 3.0000000e-03 
1.6046588e+00 -1.8036072e-01 3.0000000e-03 
1.5973720e+00 -2.2044088e-01 3.0000000e-03 
1.5886279e+00 -2.6052104e-01 3.0000000e-03 
1.5879828e+00 -2.6305550e-01 3.0000000e-03 
1.5781718e+00 -3.0060120e-01 3.0000000e-03 
1.5662023e+00 -3.4068136e-01 3.0000000e-03 
1.5593705e+00 -3.6101602e-01 3.0000000e-03 
1.5525550e+00 -3.8076152e-01 3.0000000e-03 
1.5371836e+00 -4.2084168e-01 3.0000000e-03 
1.5307582e+00 -4.3607225e-01 3.0000000e-03 
1.5199798e+00 -4.6092184e-01 3.0000000e-03 
1.5021459e+00 -4.9861153e-01 3.0000000e-03 
1.5009820e+00 -5.0100200e-01 3.0000000e-03 
1.4798415e+00 -5.4108216e-01 3.0000000e-03 
1.4735336e+00 -5.5218704e-01 3.0000000e-03 
1.4565839e+00 -5.8116232e-01 3.0000000e-03 
1.4449213e+00 -5.9977008e-01 3.0000000e-03 
1.4310496e+00 -6.2124248e-01 3.0000000e-03 
1.4163090e+00 -6.4263365e-01 3.0000000e-03 
1.4030220e+00 -6.6132265e-01 3.0000000e-03 
1.3876967e+00 -6.8161060e-01 3.0000000e-03 
1.3722561e+00 -7.0140281e-01 3.0000000e-03 
1.3590844e+00 -7.1734869e-01 3.0000000e-03 
1.3384737e+00 -7.4148297e-01 3.0000000e-03 
1.3304721e+00 -7.5035932e-01 3.0000000e-03 
1.3018598e+00 -7.8102469e-01 3.0000000e-03 
1.3013392e+00 -7.8156313e-01 3.0000000e-03 
1.2732475e+00 -8.0916244e-01 3.0000000e-03 
1.2600651e+00 -8.2164329e-01 3.0000000e-03 
1.2446352e+00 -8.3555632e-01 3.0000000e-03 
1.2160229e+00 -8.6038323e-01 3.0000000e-03 
1.2144153e+00 -8.6172345e-01 3.0000000e-03 
1.1874106e+00 -8.8321412e-01 3.0000000e-03 
1.1630585e+00 -9.0180361e-01 3.0000000e-03 
1.1587983e+00 -9.0491426e-01 3.0000000e-03 
1.1301860e+00 -9.2491809e-01 3.0000000e-03 
1.1047919e+00 -9.4188377e-01 3.0000000e-03 
1.1015737e+00 -9.4394426e-01 3.0000000e-03 
1.0729614e+00 -9.6141246e-01 3.0000000e-03 
1.0443491e+00 -9.7802959e-01 3.0000000e-03 
1.0372090e+00 -9.8196393e-01 3.0000000e-03 
1.0157368e+00 -9.9332238e-01 3.0000000e-03 
9.8712446e-01 -1.0076408e+00 3.0000000e-03 
9.5851216e-01 -1.0211421e+00 3.0000000e-03 
9.5647761e-01 -1.0220441e+00 3.0000000e-03 
9.2989986e-01 -1.0333733e+00 3.0000000e-03 
9.0128755e-01 -1.0447842e+00 3.0000000e-03 
8.7267525e-01 -1.0554095e+00 3.0000000e-03 
8.5314963e-01 -1.0621242e+00 3.0000000e-03 
8.4406295e-01 -1.0651334e+00 3.0000000e-03 
8.1545064e-01 -1.0738521e+00 3.0000000e-03 
7.8683834e-01 -1.0818143e+00 3.0000000e-03 
7.5822604e-01 -1.0890201e+00 3.0000000e-03 
7.2961373e-01 -1.0954693e+00 3.0000000e-03 
7.0100143e-01 -1.1011620e+00 3.0000000e-03 
6.9495914e-01 -1.1022044e+00 3.0000000e-03 
6.7238913e-01 -1.1059591e+00 3.0000000e-03 
6.4377682e-01 -1.1099896e+00 3.0000000e-03 
6.1516452e-01 -1.1132905e+00 3.0000000e-03 
5.8655222e-01 -1.1158619e+00 3.0000000e-03 
5.5793991e-01 -1.1177039e+00 3.0000000e-03 
5.2932761e-01 -1.1188164e+00 3.0000000e-03 
5.0071531e-01 -1.1191993e+00 3.0000000e-03 
4.7210300e-01 -1.1188528e+00 3.0000000e-03 
4.4349070e-01 -1.1177768e+00 3.0000000e-03 
4.1487840e-01 -1.1159714e+00 3.0000000e-03 
3.8626609e-01 -1.1134364e+00 3.0000000e-03 
3.5765379e-01 -1.1101719e+00 3.0000000e-03 
3.2904149e-01 -1.1061780e+00 3.0000000e-03 

-1.6303858e-01 9.0180361e-01 3.0000000e-03 
-1.5736767e-01 9.0593555e-01 3.0000000e-03 
-1.2875536e-01 9.2589497e-01 3.0000000e-03 
-1.0476775e-01 9.4188377e-01 3.0000000e-03 
-1.0014306e-01 9.4483789e-01 3.0000000e-03 
-7.1530758e-02 9.6226353e-01 3.0000000e-03 
-4.2918455e-02 9.7883811e-01 3.0000000e-03 
-3.7230350e-02 9.8196393e-01 3.0000000e-03 
-1.4306152e-02 9.9405771e-01 3.0000000e-03 
1.4306152e-02 1.0083352e+00 3.0000000e-03 
4.2918455e-02 1.0217958e+00 3.0000000e-03 
