
# Surface 0 of 1 surfaces

# Curve title: "y**2+ (x**3 + x + 1)*y +x**2 + x"

# Contour 0, label:    0.003
-1.8984804e+00 7.5150301e+00 3.0000000e-03 
-1.9019116e+00 7.5551102e+00 3.0000000e-03 
-1.9027182e+00 7.5644934e+00 3.0000000e-03 
-1.9052708e+00 7.5951904e+00 3.0000000e-03 
-1.9086078e+00 7.6352705e+00 3.0000000e-03 
-1.9119449e+00 7.6753507e+00 3.0000000e-03 
-1.9152818e+00 7.7154309e+00 3.0000000e-03 
-1.9186188e+00 7.7555110e+00 3.0000000e-03 
-1.9219557e+00 7.7955912e+00 3.0000000e-03 
-1.9252925e+00 7.8356713e+00 3.0000000e-03 
-1.9286294e+00 7.8757515e+00 3.0000000e-03 
-1.9313305e+00 7.9081639e+00 3.0000000e-03 
-1.9319489e+00 7.9158317e+00 3.0000000e-03 
-1.9351954e+00 7.9559118e+00 3.0000000e-03 
-1.9384419e+00 7.9959920e+00 3.0000000e-03 
-1.9416883e+00 8.0360721e+00 3.0000000e-03 
-1.9449348e+00 8.0761523e+00 3.0000000e-03 
-1.9481811e+00 8.1162325e+00 3.0000000e-03 
-1.9514275e+00 8.1563126e+00 3.0000000e-03 
-1.9546738e+00 8.1963928e+00 3.0000000e-03 
-1.9579201e+00 8.2364729e+00 3.0000000e-03 
-1.9599428e+00 8.2613989e+00 3.0000000e-03 
-1.9611337e+00 8.2765531e+00 3.0000000e-03 
-1.9642932e+00 8.3166333e+00 3.0000000e-03 
-1.9674527e+00 8.3567134e+00 3.0000000e-03 
-1.9706122e+00 8.3967936e+00 3.0000000e-03 
-1.9737717e+00 8.4368737e+00 3.0000000e-03 
-1.9769311e+00 8.4769539e+00 3.0000000e-03 
-1.9800906e+00 8.5170341e+00 3.0000000e-03 
-1.9832500e+00 8.5571142e+00 3.0000000e-03 
-1.9864094e+00 8.5971944e+00 3.0000000e-03 
-1.9885551e+00 8.6243727e+00 3.0000000e-03 
-1.9895421e+00 8.6372745e+00 3.0000000e-03 
-1.9926181e+00 8.6773547e+00 3.0000000e-03 
-1.9956941e+00 8.7174349e+00 3.0000000e-03 
-1.9987700e+00 8.7575150e+00 3.0000000e-03 
-2.0018460e+00 8.7975952e+00 3.0000000e-03 
-2.0049220e+00 8.8376754e+00 3.0000000e-03 
-2.0079979e+00 8.8777555e+00 3.0000000e-03 
-2.0110739e+00 8.9178357e+00 3.0000000e-03 
-2.0141498e+00 8.9579158e+00 3.0000000e-03 
-2.0171674e+00 8.9972319e+00 3.0000000e-03 
-2.0172242e+00 8.9979960e+00 3.0000000e-03 
-2.0202200e+00 9.0380762e+00 3.0000000e-03 
-2.0232157e+00 9.0781563e+00 3.0000000e-03 
-2.0262114e+00 9.1182365e+00 3.0000000e-03 
-2.0292072e+00 9.1583166e+00 3.0000000e-03 
-2.0322029e+00 9.1983968e+00 3.0000000e-03 
-2.0351986e+00 9.2384770e+00 3.0000000e-03 
-2.0381943e+00 9.2785571e+00 3.0000000e-03 
-2.0411901e+00 9.3186373e+00 3.0000000e-03 
-2.0441858e+00 9.3587174e+00 3.0000000e-03 
-2.0457797e+00 9.3799989e+00 3.0000000e-03 
-2.0471454e+00 9.3987976e+00 3.0000000e-03 
-2.0500639e+00 9.4388778e+00 3.0000000e-03 
-2.0529825e+00 9.4789579e+00 3.0000000e-03 
-2.0559011e+00 9.5190381e+00 3.0000000e-03 
-2.0588196e+00 9.5591182e+00 3.0000000e-03 
-2.0617382e+00 9.5991984e+00 3.0000000e-03 
-2.0646567e+00 9.6392786e+00 3.0000000e-03 
-2.0675753e+00 9.6793587e+00 3.0000000e-03 
-2.0704939e+00 9.7194389e+00 3.0000000e-03 
-2.0734124e+00 9.7595190e+00 3.0000000e-03 
-2.0743920e+00 9.7729337e+00 3.0000000e-03 
-2.0762817e+00 9.7995992e+00 3.0000000e-03 
-2.0791259e+00 9.8396794e+00 3.0000000e-03 
-2.0819703e+00 9.8797595e+00 3.0000000e-03 
-2.0848146e+00 9.9198397e+00 3.0000000e-03 
-2.0876589e+00 9.9599198e+00 3.0000000e-03 
-2.0905032e+00 1.0000000e+01 3.0000000e-03 

-1.5502990e+00 4.0681363e+00 3.0000000e-03 
-1.5552697e+00 4.1082164e+00 3.0000000e-03 
-1.5593705e+00 4.1412312e+00 3.0000000e-03 
-1.5602112e+00 4.1482966e+00 3.0000000e-03 
-1.5650200e+00 4.1883768e+00 3.0000000e-03 
-1.5698277e+00 4.2284569e+00 3.0000000e-03 
-1.5746344e+00 4.2685371e+00 3.0000000e-03 
-1.5794400e+00 4.3086172e+00 3.0000000e-03 
-1.5842447e+00 4.3486974e+00 3.0000000e-03 
